network_id,plan_id,network_name,plan_type,plan_name,amount,cost_price,validity
4,182,9MOBILE,ALL,500 MBGB - GIFTING (7 Days),450,450.0,GIFTING (7 Days)
4,337,9MOBILE,ALL,500 MBGB - CG (30 DAYS),220,150.0,CG (30 DAYS)
4,277,9MOBILE,ALL,1.0 GBGB - CG (30 DAYS),445,300.0,CG (30 DAYS)
4,278,9MOBILE,ALL,1.5 GBGB - CG (30 DAYS),744,450.0,CG (30 DAYS)
4,278,9MOBILE,ALL,1.5 GBGB - CG (30 DAYS),744,525.0,CG (30 DAYS)
4,279,9MOBILE,ALL,2.0 GBGB - CG (30 DAYS),895,600.0,CG (30 DAYS)
4,279,9MOBILE,ALL,2.0 GBGB - CG (30 DAYS),895,700.0,CG (30 DAYS)
4,280,9MOBILE,ALL,3.0 GBGB - CG (30 DAYS),1345,900.0,CG (30 DAYS)
4,280,9MOBILE,ALL,3.0 GBGB - CG (30 DAYS),1345,1050.0,CG (30 DAYS)
4,281,9MOBILE,ALL,4.0 GBGB - CG (30 DAYS),1795,1200.0,CG (30 DAYS)
4,283,9MOBILE,ALL,4.5 GBGB - CG (30 DAYS),1895,1350.0,CG (30 DAYS)
4,282,9MOBILE,ALL,5.0 GBGB - CG (30 DAYS),2245,1500.0,CG (30 DAYS)
4,283,9MOBILE,ALL,4.5 GBGB - CG (30 DAYS),1895,1575.0,CG (30 DAYS)
4,187,9MOBILE,ALL,11.0 GBGB - GIFTING (30 Days),4895,3300.0,GIFTING (30 Days)
4,187,9MOBILE,ALL,11.0 GBGB - GIFTING (30 Days),4895,3400.0,GIFTING (30 Days)
4,188,9MOBILE,ALL,15.0 GBGB - GIFTING (30 Days),6745,4250.0,GIFTING (30 Days)
4,338,9MOBILE,ALL,20.0 GBGB - CG (30 DAYS),8995,6000.0,CG (30 DAYS)
4,189,9MOBILE,ALL,40.0 GBGB - GIFTING (30 Days),19955,8500.0,GIFTING (30 Days)
4,190,9MOBILE,ALL,75.0 GBGB - GIFTING (30 Days),12750,12750.0,GIFTING (30 Days)
3,391,AIRTEL,ALL,150 MBGB - AWOOF (1 DAY),75,55.0,AWOOF (1 DAY)
3,392,AIRTEL,ALL,300 MBGB - AWOOF (2 DAYS),120,98.0,AWOOF (2 DAYS)
3,393,AIRTEL,ALL,600 MBGB - AWOOF (2 DAYS),245,195.0,AWOOF (2 DAYS)
3,394,AIRTEL,ALL,1.0 GBGB - AWOOF (3 DAYS),294,288.0,AWOOF (3 DAYS)
3,405,AIRTEL,ALL,1.0 GBGB - GIFT (7 DAYS),771,768.0,GIFT (7 DAYS)
3,395,AIRTEL,ALL,2.0 GBGB - GIFT (30 DAYS),1450,1440.0,GIFT (30 DAYS)
3,421,AIRTEL,ALL,3.0 GBGB - GIFT (30 DAYS),1935,1920.0,GIFT (30 DAYS)
3,422,AIRTEL,ALL,4.0 GBGB - GIFT (30 DAYS),2420,2400.0,GIFT (30 DAYS)
3,397,AIRTEL,ALL,8.0 GBGB - GIFT (30 DAYS),2880,2880.0,GIFT (30 DAYS)
3,398,AIRTEL,ALL,10.0 GBGB - AWOOF (30 DAYS),3060,2880.0,AWOOF (30 DAYS)
3,423,AIRTEL,ALL,18.0 GBGB - GIFT (30 DAYS),5815,5760.0,GIFT (30 DAYS)
2,357,GLO,ALL,750 MBGB - AWOOF GIFT (1 DAY),195,190.0,AWOOF GIFT (1 DAY)
2,358,GLO,ALL,1.5 GBGB - AWOOF GIFT (1 DAY),291,285.0,AWOOF GIFT (1 DAY)
2,359,GLO,ALL,2.5 GBGB - AWOOF GIFT (2 DAYS),485,475.0,AWOOF GIFT (2 DAYS)
2,360,GLO,ALL,9.8 GBGB - AWOOF GIFT (7 DAYS),1940,1880.0,AWOOF GIFT (7 DAYS)
2,267,GLO,ALL,200 MBGB - CG (30 DAYS),100,90.0,CG (30 DAYS)
2,268,GLO,ALL,500 MBGB - CG (30 DAYS),205,198.0,CG (30 DAYS)
2,269,GLO,ALL,1.024 GBGB - CG (30 DAYS),420,400.0,CG (30 DAYS)
2,270,GLO,ALL,2.0 GBGB - CG (30 DAYS),855,800.0,CG (30 DAYS)
2,271,GLO,ALL,3.072 GBGB - CG (30 DAYS),1260,1200.0,CG (30 DAYS)
2,196,GLO,ALL,6.15 GBGB - GIFTING (30 DAYS),1905,1880.0,GIFTING (30 DAYS)
2,273,GLO,ALL,5.12 GBGB - CG (30 DAYS),2150,2000.0,CG (30 DAYS)
2,198,GLO,ALL,11.0 GBGB - GIFTING (30 DAYS),2910,2820.0,GIFTING (30 DAYS)
2,199,GLO,ALL,14.5 GBGB - GIFTING (30 DAYS),3880,3760.0,GIFTING (30 DAYS)
2,272,GLO,ALL,10.8 GBGB - CG (30 DAYS),4200,4000.0,CG (30 DAYS)
2,369,GLO,ALL,18.5 GBGB - GIFTING (30 DAYS),4850,4700.0,GIFTING (30 DAYS)
2,202,GLO,ALL,28.0 GBGB - GIFTING (30 DAYS),7595,7520.0,GIFTING (30 DAYS)
2,203,GLO,ALL,38.0 GBGB - GIFTING (30 DAYS),9495,9400.0,GIFTING (30 DAYS)
2,263,GLO,ALL,107.0 GBGB - GIFTING (30 DAYS),18995,18800.0,GIFTING (30 DAYS)
1,427,MTN,ALL,3.5 GBGB - 1 DAY VALIDITY,980,970.0,1 DAY VALIDITY
1,363,MTN,ALL,1.5 GBGB - AWOOF (2 DAYS),583,582.0,AWOOF (2 DAYS)
1,365,MTN,ALL,2.0 GBGB - AWOOF (2 DAYS),900,882.0,AWOOF (2 DAYS)
1,340,MTN,ALL,3.2 GBGB - AWOOF DATA (2 DAYS),970,970.0,AWOOF DATA (2 DAYS)
1,428,MTN,ALL,4.0 GBGB - 2 DAYS VALIDITY,1176,1164.0,2 DAYS VALIDITY
1,429,MTN,ALL,5.5 GBGB - 2 DAYS VALIDITY,1470,1455.0,2 DAYS VALIDITY
1,385,MTN,ALL,750 MBGB - GIFTING (3 DAYS),437,437.0,GIFTING (3 DAYS)
1,417,MTN,ALL,1.0 GBGB - GIFT (7 DAYS),562,409.0,GIFT (7 DAYS)
1,417,MTN,ALL,1.0 GBGB - GIFT (7 DAYS),562,409.0,GIFT (7 DAYS)
1,382,MTN,ALL,1.2 GBGB - XTRA SPECIAL (7 DAYS),735,728.0,XTRA SPECIAL (7 DAYS)
1,381,MTN,ALL,6.0 GBGB - GIFTING (7 DAYS),2425,2425.0,GIFTING (7 DAYS)
1,341,MTN,ALL,11.0 GBGB - AWOOF DATA (7 DAYS),3395,3395.0,AWOOF DATA (7 DAYS)
1,390,MTN,ALL,20.0 GBGB - SME (7 DAYS),4850,4850.0,SME (7 DAYS)
1,342,MTN,ALL,500 MBGB - DATA SHARE (30 DAYS),350,310.0,DATA SHARE (30 DAYS)
1,342,MTN,ALL,500 MBGB - DATA SHARE (30 DAYS),350,310.0,DATA SHARE (30 DAYS)
1,342,MTN,ALL,500 MBGB - DATA SHARE (30 DAYS),350,310.0,DATA SHARE (30 DAYS)
1,342,MTN,ALL,500 MBGB - DATA SHARE (30 DAYS),425,350.0,DATA SHARE (30 DAYS)
1,403,MTN,ALL,1.0 GBGB - SME (30 DAYS),510,409.0,SME (30 DAYS)
1,403,MTN,ALL,1.0 GBGB - SME (30 DAYS),510,500.0,SME (30 DAYS)
1,403,MTN,ALL,1.0 GBGB - SME (30 DAYS),510,500.0,SME (30 DAYS)
1,403,MTN,ALL,1.0 GBGB - SME (30 DAYS),510,500.0,SME (30 DAYS)
1,403,MTN,ALL,1.0 GBGB - SME (30 DAYS),510,500.0,SME (30 DAYS)
1,403,MTN,ALL,1.0 GBGB - SME (30 DAYS),850,510.0,SME (30 DAYS)
1,344,MTN,ALL,2.0 GBGB - DATA SHARE (30 DAYS),1450,900.0,DATA SHARE (30 DAYS)
1,344,MTN,ALL,2.0 GBGB - DATA SHARE (30 DAYS),1450,900.0,DATA SHARE (30 DAYS)
1,344,MTN,ALL,2.0 GBGB - DATA SHARE (30 DAYS),1450,950.0,DATA SHARE (30 DAYS)
1,344,MTN,ALL,2.0 GBGB - DATA SHARE (30 DAYS),1450,950.0,DATA SHARE (30 DAYS)
1,44,MTN,ALL,3.0 GBGB - SME (30 DAYS),1489,1300.0,SME (30 DAYS)
1,44,MTN,ALL,3.0 GBGB - SME (30 DAYS),1489,1300.0,SME (30 DAYS)
1,44,MTN,ALL,3.0 GBGB - SME (30 DAYS),1489,1300.0,SME (30 DAYS)
1,44,MTN,ALL,3.0 GBGB - SME (30 DAYS),1489,1400.0,SME (30 DAYS)
1,44,MTN,ALL,3.0 GBGB - SME (30 DAYS),1489,1400.0,SME (30 DAYS)
1,346,MTN,ALL,5.0 GBGB - DATA SHARE (30 DAYS),1995,1800.0,DATA SHARE (30 DAYS)
1,346,MTN,ALL,5.0 GBGB - DATA SHARE (30 DAYS),1995,1800.0,DATA SHARE (30 DAYS)
1,346,MTN,ALL,5.0 GBGB - DATA SHARE (30 DAYS),1995,1800.0,DATA SHARE (30 DAYS)
1,346,MTN,ALL,5.0 GBGB - DATA SHARE (30 DAYS),1995,1900.0,DATA SHARE (30 DAYS)
1,379,MTN,ALL,2.7 GBGB - GIFTING (30 DAYS),1940,1940.0,GIFTING (30 DAYS)
1,384,MTN,ALL,3.5 GBGB - GIFTING (30 DAYS),2425,2425.0,GIFTING (30 DAYS)
1,366,MTN,ALL,10.0 GBGB - GIFTING (30 DAYS),4365,4365.0,GIFTING (30 DAYS)
1,366,MTN,ALL,10.0 GBGB - GIFTING (30 DAYS),4365,4365.0,GIFTING (30 DAYS)
1,383,MTN,ALL,14.5 GBGB - XTRA SPECIAL (30 DAYS),4900,4850.0,XTRA SPECIAL (30 DAYS)
1,375,MTN,ALL,12.5 GBGB - GIFTING (30 DAYS),5335,5335.0,GIFTING (30 DAYS)
1,430,MTN,ALL,34.0 GBGB - 30 DAYS VALIDITY,9800,9700.0,30 DAYS VALIDITY
1,372,MTN,ALL,75.0 GBGB - GIFTING (30 DAYS),17460,17460.0,GIFTING (30 DAYS)
1,380,MTN,ALL,250.0 GBGB - GIFTING (30 DAYS),53350,53350.0,GIFTING (30 DAYS)
